model,z,symbol,mass_number,mass_to_charge,relative_abundance,source_table
ost_134_1044_2007,2,He,4.0,2.00,1.23e-2,B.9
ost_134_1044_2007,3,Li,6.9,2.30,0.0,B.9
ost_134_1044_2007,4,Be,9.0,2.00,0.0,B.9
ost_134_1044_2007,5,B,10.8,2.20,0.0,B.9
ost_134_1044_2007,6,C,12.0,2.07,8.81e-5,B.9
ost_134_1044_2007,7,N,14.0,2.16,2.46e-5,B.9
ost_134_1044_2007,8,O,16.0,2.26,1.98e-4,B.9
ost_134_1044_2007,9,F,19.0,2.48,9.0e-10,B.9
ost_134_1044_2007,10,Ne,20.2,2.44,2.72e-5,B.9
ost_134_1044_2007,11,Na,23.0,2.65,2.25e-6,B.9
ost_134_1044_2007,12,Mg,24.3,2.62,3.68e-5,B.9
ost_134_1044_2007,13,Al,27.0,2.81,2.64e-6,B.9
ost_134_1044_2007,14,Si,28.1,2.80,3.01e-5,B.9
ost_134_1044_2007,15,P,31.0,2.98,1.38e-7,B.9
ost_134_1044_2007,16,S,32.1,2.97,6.60e-6,B.9
ost_134_1044_2007,17,Cl,35.4,3.23,6.10e-8,B.9
ost_134_1044_2007,18,Ar,39.9,3.49,6.10e-7,B.9
ost_134_1044_2007,19,K,39.1,3.31,9.70e-8,B.9
ost_134_1044_2007,20,Ca,40.1,3.31,2.00e-6,B.9
ost_134_1044_2007,21,Sc,44.9,3.48,6.90e-9,B.9
ost_134_1044_2007,22,Ti,47.9,3.80,1.10e-8,B.9
ost_134_1044_2007,23,V,50.9,3.95,1.00e-9,B.9
ost_134_1044_2007,24,Cr,52.0,3.96,4.10e-7,B.9
ost_134_1044_2007,25,Mn,54.9,4.11,1.50e-7,B.9
ost_134_1044_2007,26,Fe,55.8,4.12,2.70e-5,B.9
ost_134_1044_2007,27,Co,58.9,4.28,3.40e-7,B.9
ost_134_1044_2007,28,Ni,58.7,4.29,9.60e-7,B.9
