model,product,parameter,n,probability,value,source_table
ost_134_1044_2007,fluence,log10_c,1,0.9,,B.1
ost_134_1044_2007,fluence,log10_c,1,0.75,,B.1
ost_134_1044_2007,fluence,log10_c,1,0.5,6.041,B.1
ost_134_1044_2007,fluence,log10_c,1,0.25,7.241,B.1
ost_134_1044_2007,fluence,log10_c,1,0.1,7.991,B.1
ost_134_1044_2007,fluence,log10_c,1,0.01,8.732,B.1
ost_134_1044_2007,fluence,log10_c,1,0.001,9.442,B.1
ost_134_1044_2007,fluence,log10_c,2,0.9,,B.1
ost_134_1044_2007,fluence,log10_c,2,0.75,6.076,B.1
ost_134_1044_2007,fluence,log10_c,2,0.5,7.041,B.1
ost_134_1044_2007,fluence,log10_c,2,0.25,7.775,B.1
ost_134_1044_2007,fluence,log10_c,2,0.1,8.253,B.1
ost_134_1044_2007,fluence,log10_c,2,0.01,8.983,B.1
ost_134_1044_2007,fluence,log10_c,2,0.001,9.6,B.1
ost_134_1044_2007,fluence,log10_c,4,0.9,6.378,B.1
ost_134_1044_2007,fluence,log10_c,4,0.75,6.972,B.1
ost_134_1044_2007,fluence,log10_c,4,0.5,7.87,B.1
ost_134_1044_2007,fluence,log10_c,4,0.25,8.173,B.1
ost_134_1044_2007,fluence,log10_c,4,0.1,8.571,B.1
ost_134_1044_2007,fluence,log10_c,4,0.01,9.236,B.1
ost_134_1044_2007,fluence,log10_c,4,0.001,9.732,B.1
ost_134_1044_2007,fluence,log10_c,8,0.9,7.324,B.1
ost_134_1044_2007,fluence,log10_c,8,0.75,7.874,B.1
ost_134_1044_2007,fluence,log10_c,8,0.5,8.22,B.1
ost_134_1044_2007,fluence,log10_c,8,0.25,8.52,B.1
ost_134_1044_2007,fluence,log10_c,8,0.1,8.82,B.1
ost_134_1044_2007,fluence,log10_c,8,0.01,9.442,B.1
ost_134_1044_2007,fluence,log10_c,8,0.001,9.86,B.1
ost_134_1044_2007,fluence,log10_c,16,0.9,8.14,B.1
ost_134_1044_2007,fluence,log10_c,16,0.75,8.38,B.1
ost_134_1044_2007,fluence,log10_c,16,0.5,8.63,B.1
ost_134_1044_2007,fluence,log10_c,16,0.25,8.859,B.1
ost_134_1044_2007,fluence,log10_c,16,0.1,9.01,B.1
ost_134_1044_2007,fluence,log10_c,16,0.01,9.647,B.1
ost_134_1044_2007,fluence,log10_c,16,0.001,9.982,B.1
ost_134_1044_2007,fluence,log10_c,32,0.9,8.64,B.1
ost_134_1044_2007,fluence,log10_c,32,0.75,8.82,B.1
ost_134_1044_2007,fluence,log10_c,32,0.5,8.986,B.1
ost_134_1044_2007,fluence,log10_c,32,0.25,9.137,B.1
ost_134_1044_2007,fluence,log10_c,32,0.1,9.367,B.1
ost_134_1044_2007,fluence,log10_c,32,0.01,9.81,B.1
ost_134_1044_2007,fluence,log10_c,32,0.001,10.19,B.1
ost_134_1044_2007,fluence,log10_c,64,0.9,9.037,B.1
ost_134_1044_2007,fluence,log10_c,64,0.75,9.176,B.1
ost_134_1044_2007,fluence,log10_c,64,0.5,9.322,B.1
ost_134_1044_2007,fluence,log10_c,64,0.25,9.465,B.1
ost_134_1044_2007,fluence,log10_c,64,0.1,9.671,B.1
ost_134_1044_2007,fluence,log10_c,64,0.01,9.978,B.1
ost_134_1044_2007,fluence,log10_c,64,0.001,10.21,B.1
ost_134_1044_2007,fluence,log10_c,128,0.9,9.441,B.1
ost_134_1044_2007,fluence,log10_c,128,0.75,9.556,B.1
ost_134_1044_2007,fluence,log10_c,128,0.5,9.658,B.1
ost_134_1044_2007,fluence,log10_c,128,0.25,9.799,B.1
ost_134_1044_2007,fluence,log10_c,128,0.1,9.942,B.1
ost_134_1044_2007,fluence,log10_c,128,0.01,10.127,B.1
ost_134_1044_2007,fluence,log10_c,128,0.001,10.32,B.1
ost_134_1044_2007,fluence,log10_c,256,0.9,9.829,B.1
ost_134_1044_2007,fluence,log10_c,256,0.75,9.899,B.1
ost_134_1044_2007,fluence,log10_c,256,0.5,9.989,B.1
ost_134_1044_2007,fluence,log10_c,256,0.25,10.104,B.1
ost_134_1044_2007,fluence,log10_c,256,0.1,10.199,B.1
ost_134_1044_2007,fluence,log10_c,256,0.01,10.36,B.1
ost_134_1044_2007,fluence,log10_c,256,0.001,10.44,B.1
ost_134_1044_2007,fluence,log10_c,512,0.9,10.143,B.1
ost_134_1044_2007,fluence,log10_c,512,0.75,10.233,B.1
ost_134_1044_2007,fluence,log10_c,512,0.5,10.303,B.1
ost_134_1044_2007,fluence,log10_c,512,0.25,10.405,B.1
ost_134_1044_2007,fluence,log10_c,512,0.1,10.479,B.1
