energy_mev,stopping_mev_cm2_g,range_g_cm2,range_mg_cm2,source_sheet
0.01,16.5,0.0003539,0.3539,e_Al
0.0125,13.98,0.0005192,0.5192,e_Al
0.015,12.21,0.0007111,0.7111,e_Al
0.0175,10.88,0.0009284,0.9284,e_Al
0.02,9.851,0.00117,1.17,e_Al
0.025,8.345,0.001724,1.724,e_Al
0.03,7.294,0.002367,2.367,e_Al
0.035,6.516,0.003094,3.094,e_Al
0.04,5.916,0.0039,3.9,e_Al
0.045,5.437,0.004783,4.783,e_Al
0.05,5.046,0.005738,5.738,e_Al
0.055,4.721,0.006763,6.763,e_Al
0.06,4.446,0.007855,7.855,e_Al
0.07,4.005,0.01023,10.23,e_Al
0.08,3.668,0.01284,12.84,e_Al
0.09,3.401,0.01568,15.68,e_Al
0.1,3.185,0.01872,18.72,e_Al
0.125,2.789,0.02714,27.14,e_Al
0.15,2.521,0.03659,36.59,e_Al
0.175,2.328,0.04693,46.93,e_Al
0.2,2.183,0.05804,58.04,e_Al
0.25,1.981,0.08217,82.17,e_Al
0.3,1.849,0.1083,108.3,e_Al
0.35,1.757,0.1361,136.1,e_Al
0.4,1.691,0.1652,165.2,e_Al
0.45,1.642,0.1952,195.2,e_Al
0.5,1.604,0.226,226,e_Al
0.55,1.576,0.2575,257.5,e_Al
0.6,1.554,0.2894,289.4,e_Al
0.7,1.522,0.3545,354.5,e_Al
0.8,1.503,0.4206,420.6,e_Al
0.9,1.492,0.4874,487.4,e_Al
1,1.486,0.5546,554.6,e_Al
1.25,1.484,0.7231,723.1,e_Al
1.5,1.491,0.8913,891.3,e_Al
1.75,1.504,1.058,1058,e_Al
2,1.518,1.224,1224,e_Al
2.5,1.549,1.55,1550,e_Al
3,1.58,1.869,1869,e_Al
3.5,1.609,2.183,2183,e_Al
4,1.637,2.491,2491,e_Al
4.5,1.664,2.794,2794,e_Al
5,1.69,3.092,3092,e_Al
5.5,1.715,3.386,3386,e_Al
6,1.739,3.675,3675,e_Al
7,1.787,4.242,4242,e_Al
8,1.833,4.795,4795,e_Al
9,1.877,5.334,5334,e_Al
10,1.921,5.861,5861,e_Al
12.5,2.029,7.127,7127,e_Al
15,2.134,8.328,8328,e_Al
17.5,2.237,9.472,9472,e_Al
20,2.34,10.56,10560,e_Al
25,2.544,12.61,12610,e_Al
30,2.746,14.5,14500,e_Al
35,2.947,16.26,16260,e_Al
40,3.148,17.9,17900,e_Al
45,3.349,19.44,19440,e_Al
50,3.55,20.89,20890,e_Al
55,3.751,22.26,22260,e_Al
60,3.951,23.56,23560,e_Al
70,4.353,25.97,25970,e_Al
80,4.755,28.17,28170,e_Al
90,5.158,30.19,30190,e_Al
100,5.561,32.05,32050,e_Al
125,6.571,36.19,36190,e_Al
150,7.583,39.72,39720,e_Al
175,8.598,42.82,42820,e_Al
200,9.614,45.57,45570,e_Al
250,11.65,50.28,50280,e_Al
300,13.69,54.24,54240,e_Al
350,15.74,57.64,57640,e_Al
400,17.78,60.63,60630,e_Al
450,19.83,63.29,63290,e_Al
500,21.89,65.69,65690,e_Al
550,23.94,67.87,67870,e_Al
600,25.99,69.88,69880,e_Al
700,30.1,73.45,73450,e_Al
800,34.21,76.56,76560,e_Al
900,38.33,79.32,79320,e_Al
1000,42.44,81.8,81800,e_Al
