z,symbol,mass_number,mass_to_charge,energy_mev_per_nucleon,range_g_cm2,range_mm,source_sheet
2,He,4.0,2.0,0.25,0.0008586000000000002,0.00318,i_R_Al
2,He,4.0,2.0,0.275,0.0009396,0.00348,i_R_Al
2,He,4.0,2.0,0.3,0.0010206,0.00378,i_R_Al
2,He,4.0,2.0,0.325,0.0011069999999999997,0.004099999999999999,i_R_Al
2,He,4.0,2.0,0.35,0.0011934000000000003,0.00442,i_R_Al
2,He,4.0,2.0,0.375,0.0012825000000000002,0.00475,i_R_Al
2,He,4.0,2.0,0.4,0.0013743,0.00509,i_R_Al
2,He,4.0,2.0,0.425,0.0014661000000000001,0.00543,i_R_Al
2,He,4.0,2.0,0.45,0.0015633,0.00579,i_R_Al
2,He,4.0,2.0,0.5,0.0017604,0.00652,i_R_Al
2,He,4.0,2.0,0.5625,0.0020196000000000007,0.007480000000000001,i_R_Al
2,He,4.0,2.0,0.625,0.002295,0.0085,i_R_Al
2,He,4.0,2.0,0.6875,0.0025812000000000005,0.00956,i_R_Al
2,He,4.0,2.0,0.75,0.0028836000000000005,0.01068,i_R_Al
2,He,4.0,2.0,0.8125,0.0031995,0.01185,i_R_Al
2,He,4.0,2.0,0.875,0.0035289,0.01307,i_R_Al
2,He,4.0,2.0,0.9375,0.0038691000000000003,0.01433,i_R_Al
2,He,4.0,2.0,1.0,0.004225500000000001,0.01565,i_R_Al
2,He,4.0,2.0,1.125,0.0049761,0.01843,i_R_Al
2,He,4.0,2.0,1.25,0.005778,0.0214,i_R_Al
2,He,4.0,2.0,1.375,0.0066285,0.02455,i_R_Al
2,He,4.0,2.0,1.5,0.007530300000000001,0.02789,i_R_Al
2,He,4.0,2.0,1.625,0.008478,0.0314,i_R_Al
2,He,4.0,2.0,1.75,0.009474300000000001,0.03509,i_R_Al
2,He,4.0,2.0,2.0,0.011607300000000001,0.04299,i_R_Al
2,He,4.0,2.0,2.25,0.0139212,0.05156,i_R_Al
2,He,4.0,2.0,2.5,0.016429500000000003,0.06085,i_R_Al
2,He,4.0,2.0,2.75,0.019132200000000002,0.07086,i_R_Al
2,He,4.0,2.0,3.0,0.022015800000000002,0.08154,i_R_Al
2,He,4.0,2.0,3.25,0.025077600000000005,0.09288,i_R_Al
2,He,4.0,2.0,3.5,0.028317600000000005,0.10488,i_R_Al
2,He,4.0,2.0,3.75,0.031727700000000005,0.11751,i_R_Al
2,He,4.0,2.0,4.0,0.035310600000000004,0.13078,i_R_Al
2,He,4.0,2.0,4.25,0.039063600000000004,0.14468,i_R_Al
2,He,4.0,2.0,4.5,0.0429813,0.15919,i_R_Al
2,He,4.0,2.0,5.0,0.0513081,0.19003,i_R_Al
2,He,4.0,2.0,5.625,0.06262110000000001,0.23193,i_R_Al
2,He,4.0,2.0,6.25,0.074925,0.2775,i_R_Al
2,He,4.0,2.0,6.875,0.08820090000000001,0.32667,i_R_Al
2,He,4.0,2.0,7.5,0.1024299,0.37937,i_R_Al
2,He,4.0,2.0,8.125,0.11759850000000001,0.43555,i_R_Al
2,He,4.0,2.0,8.75,0.1336905,0.49515,i_R_Al
2,He,4.0,2.0,9.375,0.1506924,0.5581200000000001,i_R_Al
2,He,4.0,2.0,10.0,0.16859880000000005,0.6244400000000001,i_R_Al
2,He,4.0,2.0,11.25,0.207036,0.7667999999999999,i_R_Al
2,He,4.0,2.0,12.5,0.24896430000000006,0.9220900000000001,i_R_Al
2,He,4.0,2.0,13.75,0.29430000000000006,1.09,i_R_Al
2,He,4.0,2.0,15.0,0.34290000000000004,1.27,i_R_Al
2,He,4.0,2.0,16.25,0.3942,1.46,i_R_Al
2,He,4.0,2.0,17.5,0.4509,1.67,i_R_Al
2,He,4.0,2.0,20.0,0.5697,2.11,i_R_Al
2,He,4.0,2.0,22.5,0.7020000000000001,2.6,i_R_Al
2,He,4.0,2.0,25.0,0.8478000000000001,3.14,i_R_Al
2,He,4.0,2.0,27.5,1.0044,3.72,i_R_Al
2,He,4.0,2.0,30.0,1.1718,4.34,i_R_Al
2,He,4.0,2.0,32.5,1.3527,5.01,i_R_Al
2,He,4.0,2.0,35.0,1.5444,5.72,i_R_Al
2,He,4.0,2.0,37.5,1.7442,6.46,i_R_Al
2,He,4.0,2.0,40.0,1.9575000000000002,7.25,i_R_Al
2,He,4.0,2.0,42.5,2.1816000000000004,8.08,i_R_Al
2,He,4.0,2.0,45.0,2.4165,8.95,i_R_Al
2,He,4.0,2.0,50.0,2.9160000000000004,10.8,i_R_Al
2,He,4.0,2.0,56.25,3.5964000000000005,13.32,i_R_Al
2,He,4.0,2.0,62.5,4.338900000000001,16.07,i_R_Al
2,He,4.0,2.0,68.75,5.1408000000000005,19.04,i_R_Al
2,He,4.0,2.0,75.0,6.0021,22.23,i_R_Al
2,He,4.0,2.0,81.25,6.917400000000001,25.62,i_R_Al
2,He,4.0,2.0,87.5,7.8867,29.21,i_R_Al
2,He,4.0,2.0,93.75,8.91,33.0,i_R_Al
2,He,4.0,2.0,100.0,9.9846,36.98,i_R_Al
2,He,4.0,2.0,112.5,12.282300000000001,45.49,i_R_Al
2,He,4.0,2.0,125.0,14.771700000000001,54.71,i_R_Al
2,He,4.0,2.0,137.5,17.4447,64.61,i_R_Al
2,He,4.0,2.0,150.0,20.2905,75.15,i_R_Al
2,He,4.0,2.0,162.5,23.3064,86.32,i_R_Al
2,He,4.0,2.0,175.0,26.4789,98.07,i_R_Al
2,He,4.0,2.0,200.0,33.27210000000001,123.23,i_R_Al
2,He,4.0,2.0,225.0,40.629599999999996,150.48,i_R_Al
2,He,4.0,2.0,250.0,48.5082,179.66,i_R_Al
2,He,4.0,2.0,275.0,56.864700000000006,210.61,i_R_Al
2,He,4.0,2.0,300.0,65.66940000000001,243.22,i_R_Al
2,He,4.0,2.0,325.0,74.88450000000002,277.35,i_R_Al
2,He,4.0,2.0,350.0,84.483,312.9,i_R_Al
2,He,4.0,2.0,375.0,94.4379,349.77,i_R_Al
2,He,4.0,2.0,400.0,104.7249,387.87,i_R_Al
2,He,4.0,2.0,425.0,115.32240000000002,427.12,i_R_Al
2,He,4.0,2.0,450.0,126.2088,467.44,i_R_Al
2,He,4.0,2.0,500.0,148.77,551.0,i_R_Al
2,He,4.0,2.0,562.5,178.28640000000001,660.32,i_R_Al
2,He,4.0,2.0,625.0,209.07450000000003,774.35,i_R_Al
2,He,4.0,2.0,687.5,240.948,892.4,i_R_Al
2,He,4.0,2.0,750.0,272.7,1010.0,i_R_Al
2,He,4.0,2.0,812.5,307.8,1140.0,i_R_Al
2,He,4.0,2.0,875.0,342.9,1270.0,i_R_Al
2,He,4.0,2.0,937.5,375.30000000000007,1390.0,i_R_Al
2,He,4.0,2.0,1000.0,413.1,1530.0,i_R_Al
2,He,4.0,2.0,1125.0,483.3,1790.0,i_R_Al
2,He,4.0,2.0,1250.0,558.9,2070.0,i_R_Al
2,He,4.0,2.0,1375.0,631.8,2340.0,i_R_Al
2,He,4.0,2.0,1500.0,707.4000000000001,2620.0,i_R_Al
2,He,4.0,2.0,1625.0,783.0000000000001,2900.0,i_R_Al
2,He,4.0,2.0,1750.0,861.3,3190.0,i_R_Al
2,He,4.0,2.0,2000.0,1015.2,3760.0,i_R_Al
2,He,4.0,2.0,2250.0,1169.1,4330.0,i_R_Al
2,He,4.0,2.0,2500.0,1323.0,4900.0,i_R_Al
2,He,4.0,2.0,2750.0,1488.4567110253695,5512.802633427294,i_R_Al
2,He,4.0,2.0,3000.0,1657.5115703976826,6138.931742213639,i_R_Al
2,He,4.0,2.0,3250.0,1829.9327674443452,6777.528768312389,i_R_Al
2,He,4.0,2.0,3500.0,2005.5203352823166,7427.853093638209,i_R_Al
2,He,4.0,2.0,3750.0,2184.099785266166,8089.258463948762,i_R_Al
2,He,4.0,2.0,4000.0,2365.5173588176945,8761.175403028497,i_R_Al
2,He,4.0,2.0,4250.0,2549.636409029711,9443.097811221152,i_R_Al
2,He,4.0,2.0,4500.0,2736.334591822958,10134.57256230725,i_R_Al
2,He,4.0,2.0,5000.0,3117.0376410690833,11544.58385581142,i_R_Al
2,He,4.0,2.0,5625.0,3605.6627906271433,13354.30663195238,i_R_Al
2,He,4.0,2.0,6250.0,4107.314461094303,15212.27578183075,i_R_Al
2,He,4.0,2.0,6875.0,4620.982444374427,17114.74979397936,i_R_Al
2,He,4.0,2.0,7500.0,5145.821044992856,19058.5964629365,i_R_Al
2,He,4.0,2.0,8125.0,5681.110596035134,21041.15035568568,i_R_Al
2,He,4.0,2.0,8750.0,6226.230291098826,23060.11218925491,i_R_Al
2,He,4.0,2.0,9375.0,6780.638422144124,25113.47563757083,i_R_Al
2,He,4.0,2.0,10000.0,7343.85763858014,27199.472735482,i_R_Al
2,He,4.0,2.0,11250.0,8495.076824933489,31463.24749975366,i_R_Al
6,C,12.0,2.0,0.08333333333333333,0.0003753,0.00139,i_R_Al
6,C,12.0,2.0,0.09166666666666667,0.00039960000000000006,0.00148,i_R_Al
6,C,12.0,2.0,0.09999999999999999,0.00042390000000000006,0.00157,i_R_Al
6,C,12.0,2.0,0.10833333333333334,0.00044820000000000005,0.00166,i_R_Al
6,C,12.0,2.0,0.11666666666666665,0.0004698,0.00174,i_R_Al
6,C,12.0,2.0,0.125,0.0004914,0.00182,i_R_Al
6,C,12.0,2.0,0.13333333333333333,0.000513,0.0019,i_R_Al
6,C,12.0,2.0,0.14166666666666666,0.0005373,0.00199,i_R_Al
6,C,12.0,2.0,0.15,0.0005562000000000001,0.00206,i_R_Al
6,C,12.0,2.0,0.16666666666666666,0.0005994000000000001,0.00222,i_R_Al
6,C,12.0,2.0,0.1875,0.0006533999999999999,0.00242,i_R_Al
6,C,12.0,2.0,0.20833333333333334,0.0007047,0.00261,i_R_Al
6,C,12.0,2.0,0.22916666666666666,0.000756,0.0028,i_R_Al
6,C,12.0,2.0,0.25,0.0008073,0.00299,i_R_Al
6,C,12.0,2.0,0.2708333333333333,0.0008559,0.00317,i_R_Al
