z,symbol,mass_number,mass_to_charge,energy_mev_per_nucleon,let_electronic_mev_cm2_mg,let_nuclear_mev_cm2_mg,let_total_mev_cm2_mg,electronic_source_sheet,nuclear_source_sheet
2,He,4.0,2.0,0.25,1.31,0.001839,1.311839,i_Si_e,i_Si_n
2,He,4.0,2.0,0.275,1.28,0.0017,1.2817,i_Si_e,i_Si_n
2,He,4.0,2.0,0.3,1.24,0.001581,1.241581,i_Si_e,i_Si_n
2,He,4.0,2.0,0.325,1.21,0.001479,1.211479,i_Si_e,i_Si_n
2,He,4.0,2.0,0.35,1.17,0.00139,1.17139,i_Si_e,i_Si_n
2,He,4.0,2.0,0.375,1.14,0.001312,1.1413119999999999,i_Si_e,i_Si_n
2,He,4.0,2.0,0.4,1.11,0.001243,1.1112430000000002,i_Si_e,i_Si_n
2,He,4.0,2.0,0.425,1.08,0.001181,1.0811810000000002,i_Si_e,i_Si_n
2,He,4.0,2.0,0.45,1.06,0.001126,1.061126,i_Si_e,i_Si_n
2,He,4.0,2.0,0.5,1.01,0.00103,1.01103,i_Si_e,i_Si_n
2,He,4.0,2.0,0.5625,0.95,0.000932,0.950932,i_Si_e,i_Si_n
2,He,4.0,2.0,0.625,0.9,0.0008522,0.9008522,i_Si_e,i_Si_n
2,He,4.0,2.0,0.6875,0.856,0.0007857,0.8567857,i_Si_e,i_Si_n
2,He,4.0,2.0,0.75,0.817,0.0007294,0.8177293999999999,i_Si_e,i_Si_n
2,He,4.0,2.0,0.8125,0.782,0.0006811,0.7826811,i_Si_e,i_Si_n
2,He,4.0,2.0,0.875,0.75,0.0006391,0.7506391,i_Si_e,i_Si_n
2,He,4.0,2.0,0.9375,0.721,0.0006024,0.7216024,i_Si_e,i_Si_n
2,He,4.0,2.0,1.0,0.695,0.0005698,0.6955697999999999,i_Si_e,i_Si_n
2,He,4.0,2.0,1.125,0.649,0.0005148,0.6495148000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,1.25,0.609,0.00047,0.60947,i_Si_e,i_Si_n
2,He,4.0,2.0,1.375,0.575,0.0004327,0.5754326999999999,i_Si_e,i_Si_n
2,He,4.0,2.0,1.5,0.545,0.0004012,0.5454012,i_Si_e,i_Si_n
2,He,4.0,2.0,1.625,0.518,0.0003743,0.5183743000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,1.75,0.495,0.0003509,0.4953509,i_Si_e,i_Si_n
2,He,4.0,2.0,2.0,0.455,0.0003123,0.4553123,i_Si_e,i_Si_n
2,He,4.0,2.0,2.25,0.42,0.0002817,0.4202817,i_Si_e,i_Si_n
2,He,4.0,2.0,2.5,0.389,0.0002569,0.3892569,i_Si_e,i_Si_n
2,He,4.0,2.0,2.75,0.363,0.0002363,0.3632363,i_Si_e,i_Si_n
2,He,4.0,2.0,3.0,0.342,0.0002189,0.34221890000000005,i_Si_e,i_Si_n
2,He,4.0,2.0,3.25,0.323,0.000204,0.323204,i_Si_e,i_Si_n
2,He,4.0,2.0,3.5,0.306,0.0001911,0.3061911,i_Si_e,i_Si_n
2,He,4.0,2.0,3.75,0.291,0.0001798,0.2911798,i_Si_e,i_Si_n
2,He,4.0,2.0,4.0,0.278,0.0001698,0.2781698,i_Si_e,i_Si_n
2,He,4.0,2.0,4.25,0.265,0.0001609,0.26516090000000003,i_Si_e,i_Si_n
2,He,4.0,2.0,4.5,0.255,0.000153,0.255153,i_Si_e,i_Si_n
2,He,4.0,2.0,5.0,0.235,0.0001394,0.2351394,i_Si_e,i_Si_n
2,He,4.0,2.0,5.625,0.216,0.0001255,0.2161255,i_Si_e,i_Si_n
2,He,4.0,2.0,6.25,0.199,0.0001143,0.19911430000000002,i_Si_e,i_Si_n
2,He,4.0,2.0,6.875,0.185,0.000105,0.185105,i_Si_e,i_Si_n
2,He,4.0,2.0,7.5,0.174,9.716e-05,0.17409716,i_Si_e,i_Si_n
2,He,4.0,2.0,8.125,0.163,9.046e-05,0.16309046,i_Si_e,i_Si_n
2,He,4.0,2.0,8.75,0.154,8.466e-05,0.15408465999999998,i_Si_e,i_Si_n
2,He,4.0,2.0,9.375,0.146,7.96e-05,0.1460796,i_Si_e,i_Si_n
2,He,4.0,2.0,10.0,0.139,7.513e-05,0.13907513000000002,i_Si_e,i_Si_n
2,He,4.0,2.0,11.25,0.127,6.76e-05,0.1270676,i_Si_e,i_Si_n
2,He,4.0,2.0,12.5,0.117,6.15e-05,0.11706150000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,13.75,0.109,5.646e-05,0.10905646,i_Si_e,i_Si_n
2,He,4.0,2.0,15.0,0.102,5.221e-05,0.10205220999999999,i_Si_e,i_Si_n
2,He,4.0,2.0,16.25,0.0954,4.858e-05,0.09544858,i_Si_e,i_Si_n
2,He,4.0,2.0,17.5,0.0901,4.544e-05,0.09014544,i_Si_e,i_Si_n
2,He,4.0,2.0,20.0,0.0811,4.028e-05,0.08114028000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,22.5,0.0739,3.622e-05,0.07393622,i_Si_e,i_Si_n
2,He,4.0,2.0,25.0,0.068,3.293e-05,0.06803293,i_Si_e,i_Si_n
2,He,4.0,2.0,27.5,0.0631,3.021e-05,0.06313021,i_Si_e,i_Si_n
