energy_mev,stopping_mev_cm2_g,range_g_cm2,range_mm,source_sheet
0.1,450.7259,0.00022823100000000002,0.0008453,p_Al
0.11,442.767,0.000250074,0.0009262,p_Al
0.12,434.51660000000004,0.0002727,0.00101,p_Al
0.13,426.27299999999997,0.00029430000000000005,0.00109,p_Al
0.14,418.1348,0.00031859999999999994,0.0011799999999999998,p_Al
0.15,410.1011,0.00034290000000000004,0.00127,p_Al
0.16,402.2711,0.00036720000000000004,0.00136,p_Al
0.17,394.6442,0.00039150000000000003,0.00145,p_Al
0.18,387.3199,0.0004158,0.0015400000000000001,p_Al
0.2,373.4777,0.0004671000000000001,0.00173,p_Al
0.225,357.5345,0.0005346,0.00198,p_Al
0.25,343.09889999999996,0.0006048000000000002,0.0022400000000000002,p_Al
0.275,330.0691,0.0006776999999999999,0.0025099999999999996,p_Al
0.3,318.14380000000006,0.000756,0.0028,p_Al
0.325,307.2219,0.0008343,0.00309,p_Al
0.35,297.2029,0.0009153000000000002,0.0033900000000000002,p_Al
0.375,287.98620000000005,0.0010017,0.0037099999999999998,p_Al
0.4,279.4713,0.0010881000000000003,0.004030000000000001,p_Al
0.45,264.24600000000004,0.0012690000000000002,0.0047,p_Al
0.5,251.02540000000002,0.0014634000000000001,0.00542,p_Al
0.55,239.4081,0.0016632,0.0061600000000000005,p_Al
0.6,229.0935,0.0018765000000000003,0.0069500000000000004,p_Al
0.65,219.88090000000003,0.0020979,0.00777,p_Al
0.7,211.67,0.0023274,0.00862,p_Al
0.8,197.3518,0.0028134,0.01042,p_Al
0.9,185.3374,0.0033318,0.01234,p_Al
1.0,175.0256,0.003882600000000001,0.01438,p_Al
1.1,165.51579999999998,0.004465800000000001,0.01654,p_Al
1.2,155.9075,0.0050841,0.01883,p_Al
1.3,147.9004,0.005740200000000001,0.02126,p_Al
1.4,140.89421000000002,0.0064287,0.023809999999999998,p_Al
1.5,134.68879,0.007149600000000001,0.02648,p_Al
1.6,128.98399,0.007902900000000001,0.02927,p_Al
1.7,123.87970999999999,0.008691299999999999,0.032189999999999996,p_Al
1.8,119.17587,0.009509400000000001,0.03522,p_Al
2.0,110.86926999999999,0.011240100000000001,0.04163,p_Al
2.25,102.16253999999999,0.013575600000000002,0.05028,p_Al
2.5,94.91707000000001,0.0161028,0.05964,p_Al
2.75,88.73253,0.0188109,0.06967,p_Al
3.0,83.40869,0.0217026,0.08038,p_Al
3.25,78.75540000000001,0.0247725,0.09175,p_Al
3.5,74.65255,0.028017900000000002,0.10377,p_Al
3.75,71.01006,0.0314334,0.11642,p_Al
4.0,67.74785000000001,0.0350217,0.12971000000000002,p_Al
4.5,62.134130000000006,0.0426951,0.15813,p_Al
5.0,57.471109999999996,0.051024599999999996,0.18897999999999998,p_Al
5.5,53.5286,0.0599994,0.22222,p_Al
6.0,50.15649,0.06960600000000002,0.25780000000000003,p_Al
6.5,47.21468,0.0798363,0.29569,p_Al
7.0,44.64311,0.09067950000000001,0.33585000000000004,p_Al
8.0,40.330529999999996,0.11415060000000002,0.42278,p_Al
9.0,36.848490000000005,0.13998420000000003,0.51846,p_Al
10.0,33.976839999999996,0.16813170000000002,0.62271,p_Al
11.0,31.565469999999998,0.19854450000000004,0.7353500000000001,p_Al
12.0,29.50431,0.23118480000000002,0.85624,p_Al
13.0,27.723329999999997,0.26601480000000005,0.98524,p_Al
14.0,26.16247,0.30240000000000006,1.12,p_Al
15.0,24.79173,0.34290000000000004,1.27,p_Al
16.0,23.56107,0.3834,1.42,p_Al
17.0,22.470480000000002,0.4266000000000001,1.58,p_Al
18.0,21.479958,0.47250000000000003,1.75,p_Al
20.0,19.769060000000003,0.5697,2.11,p_Al
22.5,18.01815,0.6993,2.59,p_Al
25.0,16.587412,0.8451000000000001,3.13,p_Al
27.5,15.386802999999999,1.0017,3.71,p_Al
30.0,14.366288999999998,1.1691,4.33,p_Al
32.5,13.485851,1.3473000000000002,4.99,p_Al
35.0,12.715472,1.5363000000000002,5.69,p_Al
37.5,12.045141000000001,1.7388000000000001,6.44,p_Al
40.0,11.45485,1.9521000000000002,7.23,p_Al
45.0,10.444359,2.4057000000000004,8.91,p_Al
50.0,9.622962000000001,2.9025000000000003,10.75,p_Al
55.0,8.937634,3.4398000000000004,12.74,p_Al
60.0,8.357358,4.0176,14.88,p_Al
65.0,7.860121999999999,4.6332,17.16,p_Al
70.0,7.427919,5.283900000000001,19.57,p_Al
80.0,6.715585000000001,6.696000000000001,24.8,p_Al
90.0,6.150320999999999,8.248500000000002,30.55,p_Al
100.0,5.691109,9.9333,36.79,p_Al
110.0,5.310933,11.745000000000001,43.5,p_Al
120.0,4.989785,13.683600000000002,50.68,p_Al
130.0,4.7156590000000005,15.7383,58.29,p_Al
140.0,4.47855,17.909100000000002,66.33,p_Al
150.0,4.270456,20.1879,74.77,p_Al
160.0,4.088372000000001,22.5747,83.61,p_Al
170.0,3.926298,25.0614,92.82,p_Al
180.0,3.7812319999999997,27.6507,102.41,p_Al
200.0,3.533118,33.1074,122.62,p_Al
225.0,3.2830040000000005,40.42980000000001,149.74,p_Al
250.0,3.080911,48.26790000000001,178.77,p_Al
275.0,2.9158345000000003,56.58660000000001,209.58,p_Al
300.0,2.7767702999999995,65.3508,242.04,p_Al
325.0,2.6597155999999997,74.5254,276.02,p_Al
350.0,2.5586683999999997,84.08340000000001,311.42,p_Al
375.0,2.4716272000000004,93.99780000000001,348.14,p_Al
400.0,2.395591,104.2443,386.09,p_Al
450.0,2.2695301,125.63640000000001,465.32,p_Al
500.0,2.169481,148.1166,548.58,p_Al
550.0,2.0884404,171.5499,635.37,p_Al
600.0,2.0224064,195.8202,725.26,p_Al
650.0,1.9673774,220.833,817.9,p_Al
700.0,1.9203524,246.49920000000003,912.96,p_Al
800.0,1.8473114,299.7,1110.0,p_Al
900.0,1.7932792000000002,353.70000000000005,1310.0,p_Al
1000.0,1.7522532000000002,410.4,1520.0,p_Al
1100.0,1.7202317999999999,467.1,1730.0,p_Al
1200.0,1.6952137999999999,526.5,1950.0,p_Al
