energy_mev,let_electronic_mev_cm2_mg,let_nuclear_mev_cm2_mg,let_total_mev_cm2_mg,electronic_column,nuclear_column,source_sheet
0.1,0.4957,0.0,0.4957,H_coll,,p_Si
0.11,0.4836,0.0,0.4836,H_coll,,p_Si
0.12,0.4717,0.0,0.4717,H_coll,,p_Si
0.13,0.4603,0.0,0.4603,H_coll,,p_Si
0.14,0.4492,0.0,0.4492,H_coll,,p_Si
0.15,0.4387,0.0,0.4387,H_coll,,p_Si
0.16,0.4286,0.0,0.4286,H_coll,,p_Si
0.17,0.419,0.0,0.419,H_coll,,p_Si
0.18,0.4099,0.0,0.4099,H_coll,,p_Si
0.2,0.393,0.0,0.393,H_coll,,p_Si
0.225,0.3741,0.0,0.3741,H_coll,,p_Si
0.25,0.3573,0.0,0.3573,H_coll,,p_Si
0.275,0.3423,0.0,0.3423,H_coll,,p_Si
0.3,0.3288,0.0,0.3288,H_coll,,p_Si
0.325,0.3166,0.0,0.3166,H_coll,,p_Si
0.35,0.3055,0.0,0.3055,H_coll,,p_Si
0.375,0.2954,0.0,0.2954,H_coll,,p_Si
0.4,0.2861,0.0,0.2861,H_coll,,p_Si
0.45,0.2696,0.0,0.2696,H_coll,,p_Si
0.5,0.2554,0.0,0.2554,H_coll,,p_Si
0.55,0.243,0.0,0.243,H_coll,,p_Si
0.6,0.2321,0.0,0.2321,H_coll,,p_Si
0.65,0.2224,0.0,0.2224,H_coll,,p_Si
0.7,0.2137,0.0,0.2137,H_coll,,p_Si
0.8,0.1986,0.0,0.1986,H_coll,,p_Si
0.9,0.1861,0.0,0.1861,H_coll,,p_Si
1.0,0.1755,0.0,0.1755,H_coll,,p_Si
1.1,0.1663,0.0,0.1663,H_coll,,p_Si
1.2,0.1571,0.0,0.1571,H_coll,,p_Si
1.3,0.1492,0.0,0.1492,H_coll,,p_Si
1.4,0.1423,0.0,0.1423,H_coll,,p_Si
1.5,0.1361,0.0,0.1361,H_coll,,p_Si
1.6,0.1305,0.0,0.1305,H_coll,,p_Si
1.7,0.1253,0.0,0.1253,H_coll,,p_Si
1.8,0.1207,0.0,0.1207,H_coll,,p_Si
2.0,0.1124,0.0,0.1124,H_coll,,p_Si
2.25,0.1037,0.0,0.1037,H_coll,,p_Si
2.5,0.09644,0.0,0.09644,H_coll,,p_Si
2.75,0.09023,0.0,0.09023,H_coll,,p_Si
3.0,0.08486,0.0,0.08486,H_coll,,p_Si
3.25,0.08018,0.0,0.08018,H_coll,,p_Si
3.5,0.07604,0.0,0.07604,H_coll,,p_Si
3.75,0.07236,0.0,0.07236,H_coll,,p_Si
4.0,0.06906,0.0,0.06906,H_coll,,p_Si
4.5,0.06338,0.0,0.06338,H_coll,,p_Si
5.0,0.05866,0.0,0.05866,H_coll,,p_Si
5.5,0.05466,0.0,0.05466,H_coll,,p_Si
6.0,0.05124,0.0,0.05124,H_coll,,p_Si
