mt,energy_mev,sigma_barn
3,0.25,7.36623e-08
3,0.5,3.37316e-05
3,1.0,0.0005535922
3,2.0,0.009934174
3,3.0,0.07800946
3,4.0,0.2175834
3,5.0,0.3701921
3,6.0,0.4918261
3,7.0,0.5894128
3,8.0,0.6624144
3,9.0,0.7304009
3,10.0,0.7563697
3,11.0,0.7715386
3,12.0,0.7805895
3,13.0,0.7870204
3,14.0,0.7929218
3,15.0,0.7981559
3,16.0,0.8019919
3,17.0,0.8035684
3,18.0,0.8024178
3,19.0,0.7986805
3,20.0,0.7928746
3,22.0,0.7776639
3,24.0,0.7610378
3,26.0,0.7449663
3,28.0,0.7297618
3,30.0,0.7151679
3,35.0,0.6802687
3,40.0,0.6480981
3,45.0,0.619422
3,50.0,0.594098
3,55.0,0.571724
3,60.0,0.551924
3,65.0,0.53436
3,70.0,0.518727
3,75.0,0.504758
3,80.0,0.492226
3,90.0,0.47072
3,100.0,0.452976
3,110.0,0.438096
3,120.0,0.425545
3,130.0,0.414751
3,140.0,0.405349
3,150.0,0.397055
3,160.0,0.389657
3,180.0,0.376852
3,200.0,0.36612
4,5.803682,0.0
4,6.0,0.01839511
4,7.0,0.05470742
4,8.0,0.06258509
4,9.0,0.09059636
4,10.0,0.1005365
4,11.0,0.1076781
4,12.0,0.1128755
4,13.0,0.1143145
4,14.0,0.1198548
4,15.0,0.1154251
4,16.0,0.09499004
4,17.0,0.07968628
4,18.0,0.06571144
4,19.0,0.05426471
4,20.0,0.04525229
4,22.0,0.03329576
4,24.0,0.02364654
4,26.0,0.01972443
4,28.0,0.0169434
4,30.0,0.01507336
4,30.0,0.0
4,200.0,0.0
5,0.25,0.0
5,30.0,0.0
5,30.0,0.7151679
5,35.0,0.6802687
5,40.0,0.6480981
5,45.0,0.619422
5,50.0,0.594098
5,55.0,0.571724
5,60.0,0.551924
5,65.0,0.53436
5,70.0,0.518727
5,75.0,0.504758
5,80.0,0.492226
5,90.0,0.47072
5,100.0,0.452976
5,110.0,0.438096
5,120.0,0.425545
5,130.0,0.414751
5,140.0,0.405349
5,150.0,0.397055
5,160.0,0.389657
5,180.0,0.376852
5,200.0,0.36612
16,19.61584,0.0
16,20.0,9.20536e-06
16,22.0,0.0003798569
16,24.0,0.001191247
16,26.0,0.002626074
16,28.0,0.00387894
16,30.0,0.004155038
16,30.0,0.0
16,200.0,0.0
22,15.48814,0.0
22,17.0,1.46233e-10
22,18.0,7.621867e-07
22,19.0,5.164198e-05
22,20.0,0.0005540813
22,22.0,0.00418714
22,24.0,0.008854354
22,26.0,0.01202688
22,28.0,0.01391573
22,30.0,0.01471727
22,30.0,0.0
22,200.0,0.0
28,13.54579,0.0
28,14.0,4.405202e-05
28,15.0,0.01078039
28,16.0,0.0408582
28,17.0,0.08072105
28,18.0,0.1220032
28,19.0,0.1572325
28,20.0,0.1858265
28,22.0,0.2270741
28,24.0,0.2494837
28,26.0,0.2402842
28,28.0,0.2157244
28,30.0,0.1875921
28,30.0,0.0
28,200.0,0.0
