mt,product_index,incident_energy_mev,emitted_energy_mev,pdf_per_mev
5,1,0.25,0.0,6.915890999999999
5,1,0.25,0.1445945,0.0
5,1,30.0,0.0,4.01478e-05
5,1,30.0,0.1445945,4.71667e-05
5,1,30.0,0.2409909,0.0005998399999999999
5,1,30.0,0.3373873,0.004555581
5,1,30.0,0.4337836,0.015276729999999999
5,1,30.0,0.53018,0.02509254
5,1,30.0,0.6265764,0.03420988
5,1,30.0,0.7229728000000001,0.04125438
5,1,30.0,0.8193691,0.047149569999999995
5,1,30.0,0.9157654000000001,0.052941840000000004
5,1,30.0,1.012162,0.057626979999999994
5,1,30.0,1.108558,0.061563299999999994
5,1,30.0,1.204954,0.06616704
5,1,30.0,1.301351,0.07110645
5,1,30.0,1.397747,0.07615761
5,1,30.0,1.494144,0.08124278
5,1,30.0,1.59054,0.08685674
5,1,30.0,1.686936,0.09193274
5,1,30.0,1.783333,0.09698762000000001
5,1,30.0,1.879729,0.1022442
5,1,30.0,2.024324,0.11158069999999999
5,1,30.0,2.217116,0.1199038
5,1,30.0,2.409909,0.12634489999999998
5,1,30.0,2.602702,0.12922329999999999
5,1,30.0,2.795494,0.1298525
5,1,30.0,2.988288,0.1290337
5,1,30.0,3.181081,0.1270582
5,1,30.0,3.373874,0.12355450000000001
5,1,30.0,3.566666,0.11985670000000001
5,1,30.0,3.759459,0.1139455
5,1,30.0,4.096846,0.103647
5,1,30.0,4.578828,0.09107594
5,1,30.0,5.060809,0.07956204
5,1,30.0,5.542791,0.07076657
5,1,30.0,6.024772,0.06351206999999999
5,1,30.0,6.506754,0.057210340000000005
5,1,30.0,6.988736,0.05175331
5,1,30.0,7.470718,0.04694811
5,1,30.0,7.9527,0.04270748
5,1,30.0,8.434682,0.03897169
5,1,30.0,8.916663,0.03562029
5,1,30.0,9.398645,0.03269078
5,1,30.0,9.880628,0.03016498
5,1,30.0,10.36261,0.02797334
5,1,30.0,10.84459,0.02608468
5,1,30.0,11.32657,0.024446899999999997
5,1,30.0,11.80856,0.023091280000000002
5,1,30.0,12.29054,0.02199
5,1,30.0,12.77252,0.02103512
5,1,30.0,13.2545,0.02023879
5,1,30.0,13.73648,0.019606079999999998
5,1,30.0,14.21846,0.0190648
5,1,30.0,14.70044,0.01856919
5,1,30.0,15.18243,0.01818476
5,1,30.0,15.66441,0.01787964
5,1,30.0,16.14639,0.01756141
5,1,30.0,16.62837,0.01719414
5,1,30.0,17.11035,0.016736650000000002
5,1,30.0,17.59234,0.01671619
5,1,30.0,18.07432,0.02097183
5,1,30.0,18.5563,0.01838549
5,1,30.0,19.03828,0.01757541
5,1,30.0,19.76126,0.01627219
5,1,30.0,20.48423,0.01318512
5,1,30.0,20.96621,0.01028478
5,1,30.0,21.44819,0.0063166210000000006
5,1,30.0,21.93017,0.001833854
5,1,30.0,22.41216,0.001469896
5,1,30.0,22.89414,0.001219186
5,1,30.0,23.37612,0.00233256
5,1,30.0,23.8581,0.007644286000000001
5,1,30.0,24.34008,0.02698224
5,1,30.0,24.82206,0.04708125
5,1,30.0,25.30404,0.03623074
5,1,30.0,25.78603,0.016284330000000003
5,1,30.0,26.26801,0.003346782
5,1,30.0,26.74999,0.00024232800000000001
5,1,30.0,27.23197,1.61561e-05
5,1,30.0,27.71395,2.16648e-06
5,1,30.0,27.8765,0.0
5,1,35.0,0.0,5.59008e-06
5,1,35.0,0.1445945,1.2710999999999999e-05
5,1,35.0,0.2409909,0.000202639
5,1,35.0,0.3373873,0.004546344999999999
5,1,35.0,0.4337836,0.011188980000000001
5,1,35.0,0.53018,0.02081335
5,1,35.0,0.6265764,0.02830968
5,1,35.0,0.7229728000000001,0.035114349999999996
5,1,35.0,0.8193691,0.04019009
5,1,35.0,0.9157654000000001,0.0459471
5,1,35.0,1.012162,0.05043545
5,1,35.0,1.108558,0.054414489999999996
5,1,35.0,1.204954,0.05870661
5,1,35.0,1.301351,0.06338298
5,1,35.0,1.397747,0.06824153999999999
5,1,35.0,1.494144,0.07333831
5,1,35.0,1.59054,0.07897093999999999
5,1,35.0,1.686936,0.08436527
5,1,35.0,1.783333,0.08968178
5,1,35.0,1.879729,0.09524611
5,1,35.0,2.024324,0.10459479999999999
5,1,35.0,2.217116,0.1126776
