mt,product_index,incident_energy_mev,yield
5,1,0.25,1.225536
5,1,30.0,1.225536
5,1,30.0,1.225536
5,1,35.0,1.285314
5,1,40.0,1.309536
5,1,45.0,1.342285
5,1,50.0,1.380097
5,1,55.0,1.418063
5,1,60.0,1.469823
5,1,65.0,1.508385
5,1,70.0,1.553243
5,1,75.0,1.595142
5,1,80.0,1.631341
5,1,90.0,1.7127
5,1,100.0,1.785501
5,1,110.0,1.856375
5,1,120.0,1.930486
5,1,130.0,1.999002
5,1,140.0,2.066208
5,1,150.0,2.132197
5,1,160.0,2.197833
5,1,180.0,2.324988
5,1,200.0,2.445296
28,1,13.54579,1.0
28,1,200.0,1.0
41,1,25.3358,1.0
41,1,200.0,1.0
44,1,20.08767,2.0
44,1,200.0,2.0
45,1,23.35257,1.0
45,1,200.0,1.0
103,0,0.8752763,1.0
103,0,200.0,1.0
111,0,8.580241,2.0
111,0,200.0,2.0
112,0,10.46888,1.0
112,0,200.0,1.0
115,0,17.78001,1.0
115,0,200.0,1.0
116,0,18.89339,1.0
116,0,200.0,1.0
